stage,stage_name,stage9_sublayer,artifact_path,artifact_title,deliverable_form,participant_status
9,"Information, Knowledge & Retrieval Architecture",D. Graph Data Platform,participant_artifacts/09_information_knowledge_and_retrieval_architecture/property-graph-vs-rdf-adr.md,Property Graph vs RDF ADR,ADR / decision record,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",D. Graph Data Platform,participant_artifacts/09_information_knowledge_and_retrieval_architecture/graph-logical-model.md,Graph Logical Model,Diagram + supporting table + rationale,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",D. Graph Data Platform,participant_artifacts/09_information_knowledge_and_retrieval_architecture/graph-persistence-architecture.md,Graph Persistence Architecture,Diagram + supporting table + rationale,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",D. Graph Data Platform,participant_artifacts/09_information_knowledge_and_retrieval_architecture/graph-query-traversal-patterns.md,Graph Query / Traversal Patterns,Structured narrative + evidence table,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",D. Graph Data Platform,participant_artifacts/09_information_knowledge_and_retrieval_architecture/graph-analytics-requirements.md,Graph Analytics Requirements,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",D. Graph Data Platform,participant_artifacts/09_information_knowledge_and_retrieval_architecture/graph-indexing-strategy.md,Graph Indexing Strategy,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",E. Hybrid Retrieval,participant_artifacts/09_information_knowledge_and_retrieval_architecture/hybrid-retrieval-architecture.md,Hybrid Retrieval Architecture,Diagram + supporting table + rationale,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",E. Hybrid Retrieval,participant_artifacts/09_information_knowledge_and_retrieval_architecture/retrieval-source-adapters.md,Retrieval Source Adapters,Structured narrative + evidence table,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",E. Hybrid Retrieval,participant_artifacts/09_information_knowledge_and_retrieval_architecture/retrieval-routing-policy.md,Retrieval Routing Policy,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",E. Hybrid Retrieval,participant_artifacts/09_information_knowledge_and_retrieval_architecture/retrieval-ranking-fusion-policy.md,Retrieval Ranking / Fusion Policy,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",E. Hybrid Retrieval,participant_artifacts/09_information_knowledge_and_retrieval_architecture/retrieval-evidence-contract.md,Retrieval Evidence Contract,Structured narrative + evidence table,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",F. Runtime Context Graph,participant_artifacts/09_information_knowledge_and_retrieval_architecture/runtime-context-graph-architecture.md,Runtime Context Graph Architecture,Diagram + supporting table + rationale,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",F. Runtime Context Graph,participant_artifacts/09_information_knowledge_and_retrieval_architecture/runtime-entity-state-model.md,Runtime Entity / State Model,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",F. Runtime Context Graph,participant_artifacts/09_information_knowledge_and_retrieval_architecture/context-assembly-model.md,Context Assembly Model,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",F. Runtime Context Graph,participant_artifacts/09_information_knowledge_and_retrieval_architecture/event-state-temporal-model.md,Event / State / Temporal Model,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",F. Runtime Context Graph,participant_artifacts/09_information_knowledge_and_retrieval_architecture/context-freshness-policy.md,Context Freshness Policy,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",G. Metadata / Lineage / Provenance,participant_artifacts/09_information_knowledge_and_retrieval_architecture/metadata-model.md,Metadata Model,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",G. Metadata / Lineage / Provenance,participant_artifacts/09_information_knowledge_and_retrieval_architecture/lineage-integration.md,Lineage Integration,Structured narrative + evidence table,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",G. Metadata / Lineage / Provenance,participant_artifacts/09_information_knowledge_and_retrieval_architecture/evidence-identifier-model.md,Evidence Identifier Model,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",G. Metadata / Lineage / Provenance,participant_artifacts/09_information_knowledge_and_retrieval_architecture/authority-freshness-metadata-profile.md,Authority / Freshness Metadata Profile,Structured analysis / specification,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",G. Metadata / Lineage / Provenance,participant_artifacts/09_information_knowledge_and_retrieval_architecture/transformation-provenance.md,Transformation Provenance,Structured narrative + evidence table,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",H. Target Information Architecture,participant_artifacts/09_information_knowledge_and_retrieval_architecture/target-data-architecture.md,Target Data Architecture,Diagram + supporting table + rationale,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",H. Target Information Architecture,participant_artifacts/09_information_knowledge_and_retrieval_architecture/logical-information-architecture.md,Logical Information Architecture,Diagram + supporting table + rationale,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",H. Target Information Architecture,participant_artifacts/09_information_knowledge_and_retrieval_architecture/physical-persistence-topology.md,Physical Persistence Topology,Diagram + supporting table + rationale,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",H. Target Information Architecture,participant_artifacts/09_information_knowledge_and_retrieval_architecture/batch-stream-runtime-data-flows.md,Batch / Stream / Runtime Data Flows,Diagram + supporting table + rationale,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",I. Architecture Decisions / Schemas,participant_artifacts/09_information_knowledge_and_retrieval_architecture/data-adrs.md,Data ADRs,ADR / decision record,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",I. Architecture Decisions / Schemas,participant_artifacts/09_information_knowledge_and_retrieval_architecture/semantic-adrs.md,Semantic ADRs,ADR / decision record,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",I. Architecture Decisions / Schemas,participant_artifacts/09_information_knowledge_and_retrieval_architecture/graph-adrs.md,Graph ADRs,ADR / decision record,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",I. Architecture Decisions / Schemas,participant_artifacts/09_information_knowledge_and_retrieval_architecture/retrieval-adrs.md,Retrieval ADRs,ADR / decision record,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",I. Architecture Decisions / Schemas,participant_artifacts/09_information_knowledge_and_retrieval_architecture/ontology-schema.json,Ontology Schema,Structured narrative + evidence table,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",I. Architecture Decisions / Schemas,participant_artifacts/09_information_knowledge_and_retrieval_architecture/graph-schema.json,Graph Schema,Structured narrative + evidence table,NOT STARTED
9,"Information, Knowledge & Retrieval Architecture",I. Architecture Decisions / Schemas,participant_artifacts/09_information_knowledge_and_retrieval_architecture/vector-schema.json,Vector Schema,Structured narrative + evidence table,NOT STARTED
10,AI & Application Architecture,,participant_artifacts/10_design_ai_and_application_architecture/target-c4-context-view.md,Target C4 Context View,Diagram + supporting table + rationale,NOT STARTED
10,AI & Application Architecture,,participant_artifacts/10_design_ai_and_application_architecture/target-c4-container-view.md,Target C4 Container View,Diagram + supporting table + rationale,NOT STARTED
10,AI & Application Architecture,,participant_artifacts/10_design_ai_and_application_architecture/target-c4-component-view.md,Target C4 Component View,Diagram + supporting table + rationale,NOT STARTED
10,AI & Application Architecture,,participant_artifacts/10_design_ai_and_application_architecture/ai-rag-integration-architecture.md,AI / RAG Integration Architecture,Diagram + supporting table + rationale,NOT STARTED
10,AI & Application Architecture,,participant_artifacts/10_design_ai_and_application_architecture/model-routing-design.md,Model Routing Design,Structured analysis / specification,NOT STARTED
10,AI & Application Architecture,,participant_artifacts/10_design_ai_and_application_architecture/api-contracts.md,API Contracts,Structured analysis / specification,NOT STARTED
10,AI & Application Architecture,,participant_artifacts/10_design_ai_and_application_architecture/prompt-context-design.md,Prompt / Context Design,Structured narrative + evidence table,NOT STARTED
10,AI & Application Architecture,,participant_artifacts/10_design_ai_and_application_architecture/deployment-topology.md,Deployment Topology,Diagram + supporting table + rationale,NOT STARTED
10,AI & Application Architecture,,participant_artifacts/10_design_ai_and_application_architecture/failure-mode-design.md,Failure-Mode Design,Structured narrative + evidence table,NOT STARTED
10,AI & Application Architecture,,participant_artifacts/10_design_ai_and_application_architecture/architecture-adrs.md,Architecture ADRs,ADR / decision record,NOT STARTED
11,Agentic & Multi-Agent Orchestration,,participant_artifacts/11_design_agentic_and_multi_agent_orchestration/agent-suitability-assessment.md,Agent Suitability Assessment,Structured analysis / specification,NOT STARTED
11,Agentic & Multi-Agent Orchestration,,participant_artifacts/11_design_agentic_and_multi_agent_orchestration/autonomy-level-adr.md,Autonomy-Level ADR,ADR / decision record,NOT STARTED
11,Agentic & Multi-Agent Orchestration,,participant_artifacts/11_design_agentic_and_multi_agent_orchestration/agent-responsibility-map.md,Agent Responsibility Map,Structured analysis / specification,NOT STARTED
11,Agentic & Multi-Agent Orchestration,,participant_artifacts/11_design_agentic_and_multi_agent_orchestration/orchestration-topology.md,Orchestration Topology,Diagram + supporting table + rationale,NOT STARTED
11,Agentic & Multi-Agent Orchestration,,participant_artifacts/11_design_agentic_and_multi_agent_orchestration/agent-interaction-sequence-diagram.md,Agent Interaction / Sequence Diagram,Diagram + supporting table + rationale,NOT STARTED
11,Agentic & Multi-Agent Orchestration,,participant_artifacts/11_design_agentic_and_multi_agent_orchestration/state-machine-model.md,State-Machine Model,Diagram + supporting table + rationale,NOT STARTED
11,Agentic & Multi-Agent Orchestration,,participant_artifacts/11_design_agentic_and_multi_agent_orchestration/tool-action-catalogue.md,Tool / Action Catalogue,Structured table / register,NOT STARTED
11,Agentic & Multi-Agent Orchestration,,participant_artifacts/11_design_agentic_and_multi_agent_orchestration/identity-permission-matrix.md,Identity / Permission Matrix,Structured table / register,NOT STARTED
11,Agentic & Multi-Agent Orchestration,,participant_artifacts/11_design_agentic_and_multi_agent_orchestration/shared-memory-design.md,Shared-Memory Design,Structured narrative + evidence table,NOT STARTED
11,Agentic & Multi-Agent Orchestration,,participant_artifacts/11_design_agentic_and_multi_agent_orchestration/handoff-protocol.md,Handoff Protocol,Structured narrative + evidence table,NOT STARTED
11,Agentic & Multi-Agent Orchestration,,participant_artifacts/11_design_agentic_and_multi_agent_orchestration/termination-loop-controls.md,Termination / Loop Controls,Structured narrative + evidence table,NOT STARTED
11,Agentic & Multi-Agent Orchestration,,participant_artifacts/11_design_agentic_and_multi_agent_orchestration/human-approval-override-escalation-matrix.md,Human Approval / Override / Escalation Matrix,Structured table / register,NOT STARTED
