event_id,vessel_id,route_region,event_type,plan_time_minutes,duplicate_reconciliation,late_constraint_revision,blackout_minutes,rationale_trace_missing,api_retries,navigation_restricted,shore_link_available,adjudicated_recovery_class
EVT-0054,V-01,MED,port,100,0,0,42,0,39,0,1,reroute
EVT-0055,V-03,MED,crew,95,0,0,54,0,31,0,1,reroute
EVT-0056,V-28,MED,crew,103,0,0,92,0,15,0,0,port_hold
EVT-0057,V-08,NATL,weather,77,0,0,68,0,51,0,1,reroute
EVT-0058,V-24,GULF,machinery,65,0,0,6,0,50,0,1,port_hold
EVT-0059,V-06,GULF,machinery,98,0,0,96,0,52,0,1,port_hold
EVT-0060,V-14,GULF,weather,110,1,0,35,0,19,0,1,port_hold
EVT-0061,V-26,NATL,bunker,68,0,1,0,0,47,0,1,reroute
EVT-0062,V-11,MED,crew,24,0,1,0,0,53,0,0,continue
EVT-0063,V-29,NATL,port,53,0,1,66,1,26,0,1,slow_speed
EVT-0064,V-07,MED,machinery,56,0,0,13,0,56,0,1,reroute
EVT-0065,V-01,NATL,bunker,71,0,0,65,0,46,0,1,port_hold
EVT-0066,V-26,NATL,port,33,0,1,0,0,45,0,1,slow_speed
EVT-0067,V-03,SEA,weather,71,0,0,0,1,30,0,1,continue
EVT-0068,V-14,SEA,bunker,64,0,0,187,0,20,0,1,shore_review
EVT-0069,V-32,MED,weather,135,0,0,0,1,64,0,1,port_hold
EVT-0070,V-14,SEA,cargo,48,0,0,0,0,18,0,1,reroute
EVT-0071,V-10,MED,crew,51,0,0,27,1,3,0,0,reroute
EVT-0072,V-30,SEA,weather,54,0,0,6,1,31,0,1,port_hold
EVT-0073,V-28,GULF,weather,191,0,0,74,0,55,0,1,shore_review
EVT-0074,V-31,NATL,bunker,52,0,0,0,0,53,0,1,shore_review
EVT-0075,V-03,MED,weather,60,0,0,0,0,0,0,1,slow_speed
EVT-0076,V-26,SEA,crew,98,0,0,0,0,46,1,1,slow_speed
EVT-0077,V-11,MED,bunker,108,0,0,35,0,28,0,1,slow_speed
EVT-0078,V-31,SEA,weather,29,0,1,19,0,45,0,1,port_hold
EVT-0079,V-09,GULF,cargo,69,0,0,86,0,47,0,1,slow_speed
EVT-0080,V-23,SEA,weather,70,0,0,28,1,30,0,0,slow_speed
EVT-0081,V-19,NATL,weather,85,0,0,39,1,55,0,1,port_hold
EVT-0082,V-27,NATL,bunker,31,0,0,44,0,40,0,1,shore_review
EVT-0083,V-29,MED,port,87,1,0,123,0,20,1,1,shore_review
EVT-0084,V-16,GULF,weather,70,0,0,0,0,38,0,1,port_hold
EVT-0085,V-17,SEA,crew,110,0,0,18,0,52,0,0,reroute
EVT-0086,V-03,GULF,weather,133,0,0,0,0,27,0,1,port_hold
EVT-0087,V-25,SEA,cargo,92,0,0,37,0,61,0,1,continue
EVT-0088,V-11,MED,crew,140,1,1,61,1,5,0,1,shore_review
EVT-0089,V-30,SEA,weather,61,0,1,0,1,4,0,1,continue
EVT-0090,V-05,SEA,crew,63,0,0,0,0,29,0,1,continue
EVT-0091,V-24,MED,cargo,87,1,0,10,0,22,0,1,slow_speed
EVT-0092,V-16,NATL,cargo,209,0,0,0,1,55,0,1,reroute
EVT-0093,V-04,GULF,machinery,102,1,0,0,0,31,0,1,continue
EVT-0094,V-24,NATL,crew,48,1,0,87,0,42,1,1,continue
EVT-0095,V-30,NATL,weather,113,0,0,132,0,77,0,1,shore_review
EVT-0096,V-03,NATL,crew,28,1,0,52,1,23,0,1,port_hold
EVT-0097,V-23,NATL,bunker,174,0,0,0,0,47,0,1,reroute
EVT-0098,V-08,GULF,cargo,27,0,0,0,0,0,1,1,slow_speed
EVT-0099,V-14,NATL,port,104,0,1,30,0,38,0,1,reroute
EVT-0100,V-04,GULF,bunker,78,0,0,133,0,9,1,1,reroute
EVT-0101,V-14,GULF,port,37,1,1,80,0,46,0,1,reroute
EVT-0102,V-32,MED,cargo,67,0,1,0,0,17,0,1,shore_review
EVT-0103,V-17,GULF,crew,31,0,0,32,0,31,0,1,slow_speed
EVT-0104,V-11,GULF,port,84,0,1,3,1,51,1,1,reroute
EVT-0105,V-04,SEA,bunker,40,0,0,16,1,36,0,1,reroute
EVT-0106,V-21,GULF,machinery,557,0,0,82,0,14,0,1,shore_review
EVT-0107,V-15,MED,weather,68,0,0,6,0,8,0,1,slow_speed
EVT-0108,V-16,MED,bunker,59,0,0,0,0,92,0,1,continue
EVT-0109,V-24,MED,weather,32,0,0,78,0,37,0,1,continue
EVT-0110,V-22,MED,weather,169,0,0,0,0,77,0,1,port_hold
EVT-0111,V-01,GULF,port,106,0,0,0,0,34,0,1,reroute
EVT-0112,V-24,GULF,crew,51,0,0,0,0,25,0,0,reroute
EVT-0113,V-30,NATL,machinery,30,0,1,49,0,8,0,1,shore_review
EVT-0114,V-23,GULF,machinery,29,1,0,0,1,33,0,1,continue
EVT-0115,V-04,MED,crew,67,0,0,87,0,41,0,1,shore_review
EVT-0116,V-05,NATL,cargo,90,0,0,0,0,33,0,1,continue
EVT-0117,V-28,MED,port,26,0,0,0,0,55,0,1,continue
EVT-0118,V-16,SEA,machinery,65,0,0,52,0,31,0,1,port_hold
EVT-0119,V-17,NATL,port,46,0,1,45,0,53,0,1,shore_review
EVT-0120,V-09,SEA,cargo,171,0,0,0,0,12,0,1,slow_speed
EVT-0121,V-20,NATL,crew,124,0,0,5,1,19,0,1,slow_speed
EVT-0122,V-31,NATL,crew,127,0,0,16,0,63,0,1,shore_review
EVT-0123,V-22,SEA,crew,101,0,0,112,0,35,0,1,continue
EVT-0124,V-22,NATL,crew,19,0,0,34,0,66,0,0,port_hold
EVT-0125,V-02,NATL,weather,102,0,0,53,0,39,0,1,shore_review
EVT-0126,V-14,NATL,bunker,190,0,0,24,1,18,0,1,shore_review
EVT-0127,V-14,GULF,bunker,67,0,0,45,0,41,0,1,continue
EVT-0128,V-01,MED,bunker,76,0,1,43,0,55,0,1,shore_review
EVT-0129,V-05,NATL,port,107,1,1,36,1,31,0,1,shore_review
EVT-0130,V-21,GULF,port,51,0,0,14,1,19,0,1,slow_speed
EVT-0131,V-01,SEA,port,18,0,1,88,1,21,0,1,slow_speed
EVT-0132,V-01,MED,weather,53,0,0,0,0,13,0,1,shore_review
EVT-0133,V-11,SEA,bunker,45,0,1,40,0,31,1,1,slow_speed
EVT-0134,V-27,NATL,machinery,136,0,0,0,0,16,0,1,continue
EVT-0135,V-11,MED,crew,122,1,1,83,0,42,0,1,port_hold
EVT-0136,V-18,MED,port,103,0,0,60,0,10,0,1,slow_speed
EVT-0137,V-22,GULF,crew,149,0,0,178,0,35,0,1,shore_review
EVT-0138,V-11,GULF,port,44,0,0,32,0,25,1,1,shore_review
EVT-0139,V-10,GULF,cargo,101,1,0,0,1,29,0,1,reroute
EVT-0140,V-32,NATL,cargo,37,0,0,21,0,51,0,1,port_hold
